name,parent,type,size
__init__.py,"['network', 'utils', 'models', 'cli', 'operations', 'req', 'resolution', 'vcs', 'locations', 'index', 'commands', 'metadata', 'distributions']",file,573
exceptions.py,"['network', 'utils', 'models', 'cli', 'operations', 'req', 'resolution', 'vcs', 'locations', 'index', 'commands', 'metadata', 'distributions']",file,20942
main.py,"['network', 'utils', 'models', 'cli', 'operations', 'req', 'resolution', 'vcs', 'locations', 'index', 'commands', 'metadata', 'distributions']",file,340
wheel_builder.py,"['network', 'utils', 'models', 'cli', 'operations', 'req', 'resolution', 'vcs', 'locations', 'index', 'commands', 'metadata', 'distributions']",file,13079
self_outdated_check.py,"['network', 'utils', 'models', 'cli', 'operations', 'req', 'resolution', 'vcs', 'locations', 'index', 'commands', 'metadata', 'distributions']",file,8020
build_env.py,"['network', 'utils', 'models', 'cli', 'operations', 'req', 'resolution', 'vcs', 'locations', 'index', 'commands', 'metadata', 'distributions']",file,10234
network,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,52426
utils,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,118977
models,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,45927
cli,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,87806
operations,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,87624
req,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,99567
resolution,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,111906
vcs,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,62007
locations,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,34294
index,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,60686
commands,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,119848
metadata,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,59552
distributions,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal,dir,10466
auth.py,[],file,12190
xmlrpc.py,[],file,1791
download.py,[],file,6096
session.py,[],file,18443
cache.py,[],file,2145
__init__.py,[],file,50
utils.py,[],file,4073
lazy_wheel.py,[],file,7638
logging.py,[],file,11632
misc.py,[],file,21617
egg_link.py,[],file,2203
compat.py,[],file,1884
encoding.py,[],file,1169
models.py,[],file,1193
deprecation.py,[],file,5764
subprocess.py,[],file,9197
filesystem.py,[],file,5122
direct_url_helpers.py,[],file,3206
__init__.py,[],file,0
temp_dir.py,[],file,7702
appdirs.py,[],file,1665
inject_securetransport.py,[],file,795
setuptools_build.py,[],file,5662
packaging.py,[],file,2108
distutils_args.py,[],file,1115
entrypoints.py,[],file,3064
filetypes.py,[],file,716
compatibility_tags.py,[],file,5377
datetime.py,[],file,242
urls.py,[],file,1759
hashes.py,[],file,4831
virtualenv.py,[],file,3459
_log.py,[],file,1015
glibc.py,[],file,3110
wheel.py,[],file,4549
unpacking.py,[],file,8821
link.py,[],file,18083
selection_prefs.py,[],file,1907
direct_url.py,[],file,5877
index.py,[],file,1030
target_python.py,[],file,3858
__init__.py,[],file,63
search_scope.py,[],file,4644
